batch_number	range	source_file_count	bytes	sha256	filename
1	0190–0348	159	893075	fa1ec46464432ebab863397b2c622ff94a452b5434fd052c0f2528eb4f5043b5	01_GUIDED_ESTIMATE_0190_0348.sql
2	0349–0367	19	874208	42975128fa62c8871b8ec0dca70fc3878e29e61deea8b0cae0c0bdc4baea4976	02_GUIDED_ESTIMATE_0349_0367.sql
3	0368–0379	12	897296	6947d32b2dbacd096047557956031eef88c433ad76d38affb7ee67e7c13efcc2	03_GUIDED_ESTIMATE_0368_0379.sql
4	0380–0388	9	918316	4e55928421b7a69915df8366c752f861ab88a61457c408b71d10ce317f8bcbb4	04_GUIDED_ESTIMATE_0380_0388.sql
5	0389–0395	7	858061	ed1369f59fd9b38736bf52b1c4beb42f5c63725e5b3e8a985fdc16e134ee95e3	05_GUIDED_ESTIMATE_0389_0395.sql
6	0396–0401	6	836780	110fbf21d08bc8000a33b83166c435ed391af86072b589f1775c4f674288dc51	06_GUIDED_ESTIMATE_0396_0401.sql
7	0402–0406	5	770630	461c8867e2731ab6046d36e7d3883e356b23357b6a73d47ab2208400eb43e29c	07_GUIDED_ESTIMATE_0402_0406.sql
8	0407–0411	5	838128	ffd21967c5e6660466780914632f57d58ec6b4b61341e36e96d8736a589d7f8b	08_GUIDED_ESTIMATE_0407_0411.sql
9	0412–0416	5	907371	7fb6ed6508e965497d71b2187f95bfd5589c51289939c3e92b6aec328a3ea9d3	09_GUIDED_ESTIMATE_0412_0416.sql
10	0417–0420	4	775279	c9b98cb0e8675392d11204bbc33301ef552dc4a78cb55cf04cc0bcf252636629	10_GUIDED_ESTIMATE_0417_0420.sql
11	0421–0424	4	818969	676f8c4351a985e576ef0ec732293d2e30b0751a95675c8e7d4f38e2636a5d99	11_GUIDED_ESTIMATE_0421_0424.sql
12	0425–0428	4	862721	e6ffff9f034a1d10512379ba1a9a7795dd2b8a36731d8d6bfa661ad5dccc611e	12_GUIDED_ESTIMATE_0425_0428.sql
13	0429–0432	4	908041	3457a5b6294549a6cd0125a1c62c84dca20d6067a935813955eb615d6d948209	13_GUIDED_ESTIMATE_0429_0432.sql
14	0433–0435	3	710014	233d894c6a9da5c406fb51401eda6ec9444d9f71511b68f060dcfa2a2d30543b	14_GUIDED_ESTIMATE_0433_0435.sql
15	0436–0438	3	734404	952af1d0f927103a6e19142074b4f8a7a15410ef777416b0c8ee5a65a4f14bf3	15_GUIDED_ESTIMATE_0436_0438.sql
16	0439–0441	3	756629	62f38f0df4a2dfb78621a866686360e9ece77b0c0fa2dfaf7ae76b0930e3cef0	16_GUIDED_ESTIMATE_0439_0441.sql
17	0442–0444	3	778079	893b2ecf52ec7ab0b3b6ac66e9faae7c85c38165b7389ae74ec3fa127a173b37	17_GUIDED_ESTIMATE_0442_0444.sql
18	0445–0447	3	799001	2cf3ceafc1e651add670523dec1fea859f56fcf30084ffe478137311b8d43007	18_GUIDED_ESTIMATE_0445_0447.sql
19	0448–0450	3	819932	cf43c798235f9e52f61fc4e330da1d5a0dd6f171d71463ca3676765c9cf4a692	19_GUIDED_ESTIMATE_0448_0450.sql
20	0451–0453	3	841247	3264446c5dcbcf888805c601c1b24dc823f94bf1a92ffd3f2cb00debbda74110	20_GUIDED_ESTIMATE_0451_0453.sql
21	0454–0456	3	861770	2f0baa053ef9707184db9957e39ff6d94f0e0319ce7ec04590aac1c3e777049a	21_GUIDED_ESTIMATE_0454_0456.sql
22	0457–0459	3	882988	b0be10791064a384dbdeb6527280fb1d50f0dbca6fb70d83f68bd59126cd56f4	22_GUIDED_ESTIMATE_0457_0459.sql
23	0460–0462	3	905532	488bc61ba988c36e81d06162257a3bd8f51c5a1033f7e53b680a13c38b39a985	23_GUIDED_ESTIMATE_0460_0462.sql
24	0463–0464	2	616099	2a3bd5f85c69976f7f1755fac360f0845acae1ea996108a445e2716686a2a43a	24_GUIDED_ESTIMATE_0463_0464.sql
25	0465–0466	2	625747	5bd6fc328dbb0f62d58406426840f7b622df8084c92fc83a6606427be2c96b74	25_GUIDED_ESTIMATE_0465_0466.sql
26	0467–0468	2	635253	7abed0863f81ad321b6014ea6b637afdc8d102b273e07c651ef15ff3824ebc33	26_GUIDED_ESTIMATE_0467_0468.sql
27	0469–0470	2	644663	8cd3bbca5e5bd1408e19d4f7911449f526155e684e5e28553b1798cdfda11174	27_GUIDED_ESTIMATE_0469_0470.sql
28	0471–0472	2	653467	58486094bfaf702f82e7785ddedafb62792a9adeaf8d61fc82e1d7c5e694f26e	28_GUIDED_ESTIMATE_0471_0472.sql
29	0473–0474	2	662127	54cecd3404dda9694a2fb69863b52ba4e472c50fa984da50fd4935e4e8cd6574	29_GUIDED_ESTIMATE_0473_0474.sql
30	0475–0476	2	670849	b94f00e82cc853e48bb801d94d8cddcdea9385e5a6adb0d775bc76db5c26fb72	30_GUIDED_ESTIMATE_0475_0476.sql
